geoid,tract_name,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle
17031030103,Census Tract 301.03; Cook County; Illinois,1091,627,434,22,8,0.5747021081576535,0.39780018331805683,0.02016498625114574,0.007332722273143905
17031030104,Census Tract 301.04; Cook County; Illinois,1043,435,515,93,0,0.4170661553211889,0.4937679769894535,0.08916586768935762,0.0
17031030200,Census Tract 302; Cook County; Illinois,2533,444,1178,880,31,0.17528622187129886,0.46506119226213977,0.34741413343861033,0.012238452427951046
17031030300,Census Tract 303; Cook County; Illinois,1470,643,452,275,100,0.43741496598639457,0.3074829931972789,0.1870748299319728,0.06802721088435375
17031030400,Census Tract 304; Cook County; Illinois,1354,354,630,292,78,0.2614475627769572,0.465288035450517,0.21565731166912852,0.05760709010339734
17031030500,Census Tract 305; Cook County; Illinois,3021,593,1765,535,97,0.19629261833829859,0.584243627937769,0.17709367759020192,0.03210857332009268
17031030601,Census Tract 306.01; Cook County; Illinois,1908,896,878,124,10,0.469601677148847,0.46016771488469604,0.0649895178197065,0.005241090146750524
17031030603,Census Tract 306.03; Cook County; Illinois,1342,747,519,63,13,0.5566318926974665,0.3867362146050671,0.04694485842026826,0.009687034277198211
17031030604,Census Tract 306.04; Cook County; Illinois,2058,971,971,75,12,0.4718172983479106,0.4718172983479106,0.03644314868804665,0.0058309037900874635
17031030701,Census Tract 307.01; Cook County; Illinois,894,473,346,75,0,0.529082774049217,0.3870246085011186,0.08389261744966443,0.0
17031030702,Census Tract 307.02; Cook County; Illinois,1551,484,990,49,28,0.3120567375886525,0.6382978723404256,0.03159252095422308,0.018052869116698903
17031030703,Census Tract 307.03; Cook County; Illinois,1885,944,757,103,66,0.5007957559681697,0.4015915119363395,0.054641909814323604,0.0350132625994695
17031030706,Census Tract 307.06; Cook County; Illinois,1918,1132,595,170,21,0.5901981230448383,0.3102189781021898,0.0886339937434828,0.010948905109489052
17031030800,Census Tract 308; Cook County; Illinois,2190,522,1200,417,51,0.23835616438356164,0.547945205479452,0.19041095890410958,0.023287671232876714
17031030900,Census Tract 309; Cook County; Illinois,1576,311,909,317,39,0.19733502538071065,0.5767766497461929,0.20114213197969544,0.024746192893401017
17031031000,Census Tract 310; Cook County; Illinois,2073,522,1077,444,30,0.25180897250361794,0.5195369030390738,0.2141823444283647,0.01447178002894356
17031031100,Census Tract 311; Cook County; Illinois,2948,1347,1455,146,0,0.4569199457259159,0.4935549525101764,0.04952510176390773,0.0
17031031200,Census Tract 312; Cook County; Illinois,3519,2110,1263,125,0,0.5996021597044615,0.3589087809036658,0.035521454958795114,0.0
17031031300,Census Tract 313; Cook County; Illinois,4459,1461,2366,603,21,0.32765193989683783,0.5306122448979592,0.13523211482395156,0.004709576138147566
17031031400,Census Tract 314; Cook County; Illinois,3182,1353,1493,336,0,0.42520427404148337,0.4692017598994343,0.10559396605908233,0.0
17031031501,Census Tract 315.01; Cook County; Illinois,2084,632,1181,217,54,0.30326295585412666,0.5666986564299424,0.10412667946257198,0.025911708253358926
17031031502,Census Tract 315.02; Cook County; Illinois,2516,1471,913,115,17,0.584658187599364,0.3628775834658188,0.04570747217806041,0.006756756756756757
17031031700,Census Tract 317; Cook County; Illinois,3187,970,1780,233,61,0.30436146846564166,0.5585189833699404,0.07310950737370568,0.019140257295262003
17031031800,Census Tract 318; Cook County; Illinois,983,229,561,173,20,0.23296032553407936,0.5707019328585962,0.17599186164801628,0.02034587995930824
17031031900,Census Tract 319; Cook County; Illinois,1385,526,641,193,25,0.37978339350180507,0.4628158844765343,0.13935018050541517,0.018050541516245487
17031032100,Census Tract 321; Cook County; Illinois,4193,2004,1824,365,0,0.47793942284760316,0.4350107321726687,0.08704984497972812,0.0
17031040100,Census Tract 401; Cook County; Illinois,1924,351,1053,483,27,0.18243243243243243,0.5472972972972973,0.251039501039501,0.014033264033264034
17031040201,Census Tract 402.01; Cook County; Illinois,3146,471,1737,729,178,0.14971392244119516,0.5521296884933249,0.23172282263191354,0.056579783852511126
17031040202,Census Tract 402.02; Cook County; Illinois,2954,860,1313,723,43,0.2911306702775897,0.44448205822613407,0.24475287745429924,0.014556533513879486
17031040300,Census Tract 403; Cook County; Illinois,1163,112,692,296,63,0.09630266552020636,0.5950128976784179,0.2545141874462597,0.05417024935511608
17031040401,Census Tract 404.01; Cook County; Illinois,1524,282,847,374,21,0.18503937007874016,0.5557742782152231,0.24540682414698162,0.013779527559055118
17031040402,Census Tract 404.02; Cook County; Illinois,2494,469,1686,301,20,0.18805132317562148,0.6760224538893344,0.1206896551724138,0.00801924619085806
17031040600,Census Tract 406; Cook County; Illinois,1284,404,640,232,8,0.3146417445482866,0.4984423676012461,0.1806853582554517,0.006230529595015576
17031040700,Census Tract 407; Cook County; Illinois,1693,506,795,316,76,0.2988777318369758,0.46958062610750145,0.18665091553455404,0.0448907265209687
17031040800,Census Tract 408; Cook County; Illinois,769,107,462,176,24,0.13914174252275682,0.6007802340702211,0.22886866059817945,0.031209362808842653
17031040900,Census Tract 409; Cook County; Illinois,1136,416,426,230,64,0.36619718309859156,0.375,0.20246478873239437,0.056338028169014086
17031050100,Census Tract 501; Cook County; Illinois,1156,301,536,285,34,0.26038062283737023,0.46366782006920415,0.24653979238754326,0.029411764705882353
17031050200,Census Tract 502; Cook County; Illinois,2126,402,952,668,39,0.18908748824082786,0.4477892756349953,0.3142050799623706,0.018344308560677328
17031050300,Census Tract 503; Cook County; Illinois,1091,81,591,339,66,0.07424381301558204,0.541704857928506,0.31072410632447295,0.06049495875343722
17031050500,Census Tract 505; Cook County; Illinois,1993,152,1032,712,90,0.07626693426994481,0.5178123432012042,0.3572503763171099,0.04515805318615153
17031050600,Census Tract 506; Cook County; Illinois,1191,140,842,199,2,0.11754827875734676,0.7069689336691856,0.1670864819479429,0.0016792611251049538
17031050700,Census Tract 507; Cook County; Illinois,691,89,397,195,10,0.1287988422575977,0.5745296671490593,0.2821997105643994,0.01447178002894356
17031050800,Census Tract 508; Cook County; Illinois,488,52,220,171,45,0.10655737704918032,0.45081967213114754,0.35040983606557374,0.09221311475409837
17031050900,Census Tract 509; Cook County; Illinois,662,157,269,194,30,0.23716012084592145,0.40634441087613293,0.2930513595166163,0.045317220543806644
17031051000,Census Tract 510; Cook County; Illinois,695,42,350,270,27,0.060431654676258995,0.5035971223021583,0.38848920863309355,0.03884892086330935
