station_id,station_name,total_rides,avg_rides_daily,avg_weekday,avg_weekend
40980,Harlem-Forest Park,117854.0,322.8876712328767,386.73622047244095,176.78378378378378
40990,69th,8523.0,947.0,,947.0
41010,Rockwell,198358.0,698.443661971831,828.8554913294797,495.18918918918916
41020,Logan Square,1681.0,88.47368421052632,,88.47368421052632
41030,Polk,60952.0,559.1926605504588,773.5,551.0285714285715
41040,Kedzie-Cermak,226880.0,626.7403314917127,709.4426877470356,434.7798165137615
41050,Linden,157021.0,432.56473829201104,480.6547619047619,323.3873873873874
41060,Ashland-Orange,102265.0,664.0584415584416,897.9302325581396,573.4594594594595
41070,Kedzie-Lake,227200.0,624.1758241758242,727.094861660079,389.5945945945946
41080,47th-South Elevated,171033.0,468.5835616438356,535.0748031496063,316.43243243243245
41090,Monroe/State,1308.0,654.0,,654.0
41120,35-Bronzeville-IIT,195339.0,712.9160583941606,820.9705882352941,536.2884615384615
41130,Halsted-Orange,69595.0,717.4742268041238,853.0,714.6210526315789
41140,King Drive,77755.0,213.02739726027397,242.0748031496063,146.55855855855856
41150,Kedzie-Midway,41427.0,828.54,,828.54
41160,Clinton-Lake,36532.0,794.1739130434783,,794.1739130434783
41170,Garfield-Dan Ryan,54947.0,808.0441176470588,,808.0441176470588
41180,Kedzie-Brown,85963.0,795.9537037037037,923.7142857142857,765.1149425287356
41190,Jarvis,234419.0,802.804794520548,868.0934065934066,694.7818181818182
41200,Argyle,615.0,615.0,,615.0
41210,Wellington,67678.0,690.5918367346939,795.375,681.2777777777778
41220,Fullerton,696.0,696.0,,696.0
41230,47th-Dan Ryan,72137.0,810.5280898876405,946.8333333333334,800.6746987951807
41240,Addison-O'Hare,66462.0,671.3333333333334,867.2,660.9148936170212
41250,Central-Evanston,133883.0,367.81043956043953,425.6456692913386,234.26363636363635
41260,Austin-Lake,171562.0,717.8326359832636,894.9140625,513.6306306306307
41270,43rd,159245.0,436.28767123287673,508.751968503937,270.4684684684685
41290,Kimball,2511.0,837.0,,837.0
41300,Loyola,1565.0,782.5,,782.5
41310,Paulina,58696.0,733.7,846.5714285714286,722.8767123287671
41320,Belmont-North Main,927.0,927.0,,927.0
41330,Montrose-O'Hare,89624.0,705.7007874015748,926.1176470588235,671.6363636363636
41340,LaSalle,73766.0,737.66,868.5555555555555,724.7142857142857
41350,Oak Park-Lake,216894.0,610.9690140845071,710.094262295082,393.07207207207205
41360,California-Lake,207270.0,567.8630136986301,678.9212598425197,313.72972972972974
41380,Bryn Mawr,14095.0,829.1176470588235,946.0,821.8125
41410,Chicago/Milwaukee,28743.0,756.3947368421053,,756.3947368421053
41420,Addison-North Main,538.0,538.0,,538.0
41430,87th,29438.0,892.060606060606,,892.060606060606
41440,Addison-Brown,111879.0,662.0059171597633,866.1525423728814,552.5090909090909
41460,Irving Park-Brown,64935.0,705.8152173913044,843.7272727272727,687.0864197530864
41480,Western-Brown,13774.0,860.875,,860.875
41490,Harrison,6460.0,807.5,843.0,802.4285714285714
41500,Montrose-Brown,69289.0,729.3578947368421,824.0,716.9642857142857
41510,Morgan-Lake,2134.0,711.3333333333334,,711.3333333333334
41670,Conservatory,191991.0,527.4478021978022,556.2755905511812,460.8818181818182
41680,Oakton-Skokie,133944.0,366.9698630136986,450.8070866141732,175.12612612612614
41690,Cermak-McCormick Place,162782.0,775.152380952381,838.8076923076923,671.7125
