geoid,tract_name,median_income
17031160501,Census Tract 1605.01; Cook County; Illinois,76514.0
17031160502,Census Tract 1605.02; Cook County; Illinois,85500.0
17031160601,Census Tract 1606.01; Cook County; Illinois,74310.0
17031160602,Census Tract 1606.02; Cook County; Illinois,96324.0
17031160700,Census Tract 1607; Cook County; Illinois,89531.0
17031160800,Census Tract 1608; Cook County; Illinois,83148.0
17031160900,Census Tract 1609; Cook County; Illinois,116063.0
17031161000,Census Tract 1610; Cook County; Illinois,113287.0
17031161100,Census Tract 1611; Cook County; Illinois,153750.0
17031161200,Census Tract 1612; Cook County; Illinois,76797.0
17031161300,Census Tract 1613; Cook County; Illinois,58425.0
17031170100,Census Tract 1701; Cook County; Illinois,41699.0
17031170200,Census Tract 1702; Cook County; Illinois,90625.0
17031170300,Census Tract 1703; Cook County; Illinois,95328.0
17031170400,Census Tract 1704; Cook County; Illinois,105524.0
17031170500,Census Tract 1705; Cook County; Illinois,85395.0
17031170600,Census Tract 1706; Cook County; Illinois,78187.0
17031170700,Census Tract 1707; Cook County; Illinois,82284.0
17031170800,Census Tract 1708; Cook County; Illinois,71897.0
17031170900,Census Tract 1709; Cook County; Illinois,61771.0
17031171000,Census Tract 1710; Cook County; Illinois,82790.0
17031171100,Census Tract 1711; Cook County; Illinois,94830.0
17031180100,Census Tract 1801; Cook County; Illinois,97301.0
17031190100,Census Tract 1901; Cook County; Illinois,53717.0
17031190200,Census Tract 1902; Cook County; Illinois,82551.0
17031190300,Census Tract 1903; Cook County; Illinois,68281.0
17031190401,Census Tract 1904.01; Cook County; Illinois,104231.0
17031190402,Census Tract 1904.02; Cook County; Illinois,60316.0
17031190601,Census Tract 1906.01; Cook County; Illinois,73607.0
17031190602,Census Tract 1906.02; Cook County; Illinois,73315.0
17031190701,Census Tract 1907.01; Cook County; Illinois,67868.0
17031190702,Census Tract 1907.02; Cook County; Illinois,65551.0
17031190800,Census Tract 1908; Cook County; Illinois,56311.0
17031190900,Census Tract 1909; Cook County; Illinois,64375.0
17031191000,Census Tract 1910; Cook County; Illinois,66632.0
17031191100,Census Tract 1911; Cook County; Illinois,53683.0
17031191200,Census Tract 1912; Cook County; Illinois,64688.0
17031191301,Census Tract 1913.01; Cook County; Illinois,65240.0
17031191302,Census Tract 1913.02; Cook County; Illinois,58208.0
17031200100,Census Tract 2001; Cook County; Illinois,72417.0
17031200200,Census Tract 2002; Cook County; Illinois,65599.0
17031200300,Census Tract 2003; Cook County; Illinois,39740.0
17031200401,Census Tract 2004.01; Cook County; Illinois,73384.0
17031200402,Census Tract 2004.02; Cook County; Illinois,77091.0
17031210100,Census Tract 2101; Cook County; Illinois,115705.0
17031210400,Census Tract 2104; Cook County; Illinois,64665.0
17031210501,Census Tract 2105.01; Cook County; Illinois,74886.0
17031210502,Census Tract 2105.02; Cook County; Illinois,79857.0
17031210601,Census Tract 2106.01; Cook County; Illinois,90357.0
17031210602,Census Tract 2106.02; Cook County; Illinois,93589.0
17031210700,Census Tract 2107; Cook County; Illinois,100151.0
17031210800,Census Tract 2108; Cook County; Illinois,92375.0
17031210900,Census Tract 2109; Cook County; Illinois,106083.0
17031220300,Census Tract 2203; Cook County; Illinois,94654.0
17031220400,Census Tract 2204; Cook County; Illinois,124613.0
17031220500,Census Tract 2205; Cook County; Illinois,107857.0
17031220601,Census Tract 2206.01; Cook County; Illinois,130500.0
17031220602,Census Tract 2206.02; Cook County; Illinois,71207.0
17031220701,Census Tract 2207.01; Cook County; Illinois,79948.0
17031220702,Census Tract 2207.02; Cook County; Illinois,80452.0
17031220901,Census Tract 2209.01; Cook County; Illinois,83681.0
17031220902,Census Tract 2209.02; Cook County; Illinois,78304.0
17031221000,Census Tract 2210; Cook County; Illinois,89044.0
17031221100,Census Tract 2211; Cook County; Illinois,96514.0
17031221200,Census Tract 2212; Cook County; Illinois,126481.0
17031221300,Census Tract 2213; Cook County; Illinois,87432.0
17031221400,Census Tract 2214; Cook County; Illinois,108789.0
17031221500,Census Tract 2215; Cook County; Illinois,72292.0
17031221600,Census Tract 2216; Cook County; Illinois,138152.0
17031222200,Census Tract 2222; Cook County; Illinois,188065.0
17031222500,Census Tract 2225; Cook County; Illinois,155878.0
17031222600,Census Tract 2226; Cook County; Illinois,94688.0
17031222700,Census Tract 2227; Cook County; Illinois,86473.0
17031222800,Census Tract 2228; Cook County; Illinois,71484.0
17031222900,Census Tract 2229; Cook County; Illinois,89630.0
17031230100,Census Tract 2301; Cook County; Illinois,89773.0
17031230200,Census Tract 2302; Cook County; Illinois,78056.0
17031230300,Census Tract 2303; Cook County; Illinois,67337.0
17031230400,Census Tract 2304; Cook County; Illinois,91771.0
17031230500,Census Tract 2305; Cook County; Illinois,35727.0
17031230600,Census Tract 2306; Cook County; Illinois,57220.0
17031230700,Census Tract 2307; Cook County; Illinois,33994.0
17031230800,Census Tract 2308; Cook County; Illinois,71328.0
17031230900,Census Tract 2309; Cook County; Illinois,80756.0
17031231100,Census Tract 2311; Cook County; Illinois,59745.0
17031231200,Census Tract 2312; Cook County; Illinois,31629.0
17031231500,Census Tract 2315; Cook County; Illinois,31755.0
17031240200,Census Tract 2402; Cook County; Illinois,172019.0
17031240300,Census Tract 2403; Cook County; Illinois,142292.0
17031240500,Census Tract 2405; Cook County; Illinois,178770.0
17031240600,Census Tract 2406; Cook County; Illinois,166537.0
17031240700,Census Tract 2407; Cook County; Illinois,96250.0
17031240800,Census Tract 2408; Cook County; Illinois,103565.0
17031240900,Census Tract 2409; Cook County; Illinois,98145.0
17031241000,Census Tract 2410; Cook County; Illinois,96518.0
17031241100,Census Tract 2411; Cook County; Illinois,90822.0
17031241200,Census Tract 2412; Cook County; Illinois,139688.0
17031241300,Census Tract 2413; Cook County; Illinois,182829.0
17031241400,Census Tract 2414; Cook County; Illinois,200429.0
17031241500,Census Tract 2415; Cook County; Illinois,178750.0
17031241600,Census Tract 2416; Cook County; Illinois,121471.0
17031242000,Census Tract 2420; Cook County; Illinois,151724.0
17031242100,Census Tract 2421; Cook County; Illinois,205338.0
17031242200,Census Tract 2422; Cook County; Illinois,168311.0
17031242300,Census Tract 2423; Cook County; Illinois,106919.0
17031242400,Census Tract 2424; Cook County; Illinois,110129.0
17031242500,Census Tract 2425; Cook County; Illinois,93279.0
17031242600,Census Tract 2426; Cook County; Illinois,85000.0
17031242700,Census Tract 2427; Cook County; Illinois,80227.0
17031242800,Census Tract 2428; Cook County; Illinois,165375.0
17031242900,Census Tract 2429; Cook County; Illinois,124960.0
17031243000,Census Tract 2430; Cook County; Illinois,123750.0
17031243100,Census Tract 2431; Cook County; Illinois,107833.0
17031243200,Census Tract 2432; Cook County; Illinois,124648.0
17031243300,Census Tract 2433; Cook County; Illinois,122917.0
17031243400,Census Tract 2434; Cook County; Illinois,113966.0
17031243500,Census Tract 2435; Cook County; Illinois,169198.0
17031250200,Census Tract 2502; Cook County; Illinois,45019.0
17031250300,Census Tract 2503; Cook County; Illinois,64537.0
17031250400,Census Tract 2504; Cook County; Illinois,47281.0
17031250500,Census Tract 2505; Cook County; Illinois,120386.0
17031250600,Census Tract 2506; Cook County; Illinois,81458.0
17031250700,Census Tract 2507; Cook County; Illinois,50924.0
17031250800,Census Tract 2508; Cook County; Illinois,65884.0
17031251000,Census Tract 2510; Cook County; Illinois,35568.0
17031251100,Census Tract 2511; Cook County; Illinois,40584.0
