geoid,tract_name,median_income,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle,mean_travel_time_min
17031030500,Census Tract 305; Cook County; Illinois,123464.0,4558,1591,1148,103,69,1601,0.3490566037735849,0.2518648530057042,0.0225976305397104,0.0151382185168933,0.3512505484861781,3021,593,1765,535,97,0.1962926183382985,0.584243627937769,0.1770936775902019,0.0321085733200926,49.28333333333333
17031030601,Census Tract 306.01; Cook County; Illinois,51136.0,2065,670,600,24,240,456,0.324455205811138,0.2905569007263922,0.0116222760290556,0.1162227602905569,0.2208232445520581,1908,896,878,124,10,0.469601677148847,0.460167714884696,0.0649895178197065,0.0052410901467505,26.816666666666663
17031030603,Census Tract 306.03; Cook County; Illinois,54415.0,1385,465,536,18,86,247,0.335740072202166,0.3870036101083032,0.0129963898916967,0.0620938628158844,0.1783393501805054,1342,747,519,63,13,0.5566318926974665,0.3867362146050671,0.0469448584202682,0.0096870342771982,18.966666666666665
17031030604,Census Tract 306.04; Cook County; Illinois,51032.0,1679,701,533,14,41,390,0.4175104228707564,0.3174508636092912,0.008338296605122,0.0244192972007147,0.2322811197141155,2058,971,971,75,12,0.4718172983479106,0.4718172983479106,0.0364431486880466,0.0058309037900874,21.48333333333333
17031030701,Census Tract 307.01; Cook County; Illinois,51625.0,905,301,423,10,12,159,0.3325966850828729,0.467403314917127,0.011049723756906,0.0132596685082872,0.1756906077348066,894,473,346,75,0,0.529082774049217,0.3870246085011186,0.0838926174496644,0.0,12.433333333333334
17031030702,Census Tract 307.02; Cook County; Illinois,60133.0,1222,541,311,9,31,292,0.4427168576104746,0.2545008183306055,0.0073649754500818,0.025368248772504,0.2389525368248772,1551,484,990,49,28,0.3120567375886525,0.6382978723404256,0.031592520954223,0.0180528691166989,15.5
17031030703,Census Tract 307.03; Cook County; Illinois,68861.0,1779,526,610,0,82,496,0.295671725688589,0.3428892636312535,0.0,0.0460933108487914,0.2788083192804946,1885,944,757,103,66,0.5007957559681697,0.4015915119363395,0.0546419098143236,0.0350132625994695,21.383333333333333
17031030706,Census Tract 307.06; Cook County; Illinois,50431.0,1319,447,507,0,53,312,0.3388931008339651,0.3843821076573162,0.0,0.0401819560272934,0.2365428354814253,1918,1132,595,170,21,0.5901981230448383,0.3102189781021898,0.0886339937434828,0.010948905109489,16.783333333333335
17031030800,Census Tract 308; Cook County; Illinois,96719.0,2901,999,717,47,0,1105,0.344364012409514,0.2471561530506721,0.0162013098931402,0.0,0.3809031368493623,2190,522,1200,417,51,0.2383561643835616,0.547945205479452,0.1904109589041095,0.0232876712328767,29.933333333333334
17031030900,Census Tract 309; Cook County; Illinois,97375.0,2096,664,418,18,30,966,0.3167938931297709,0.1994274809160305,0.0085877862595419,0.0143129770992366,0.4608778625954198,1576,311,909,317,39,0.1973350253807106,0.5767766497461929,0.2011421319796954,0.024746192893401,18.83333333333333
