"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0100000US","United States","157645183","166534","124059213","138960","110653318","98643","13405895","59144","9987277","43278","2030377","19509","777394","10795","406853","6119","203994","3691","5528841","19922","2629321","14403","2117756","14076","569246","6702","148661","3626","63857","2535","357134","6050","196174","3988","705862","7374","3785388","18195","1745198","13594","21267373","54435",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","1065","235","252","107","246","106","6","14","6","14","0","12","0","12","0","12","0","12","278","113","146","76","132","87","0","12","0","12","0","12","0","12","14","16","7","11","205","106","0","12","309","113",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","3467","875","1903","770","1644","768","259","176","237","174","0","17","0","17","16","25","6","9","741","248","190","147","526","204","21","19","4","8","0","17","42","34","0","17","120","81","110","72","30","34","521","186",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","2064","423","745","184","636","160","109","85","57","50","52","78","0","12","0","12","0","12","818","385","577","382","241","161","0","12","0","12","0","12","56","63","0","12","19","24","108","87","0","12","318","156",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","1761","267","853","235","811","226","42","41","42","41","0","12","0","12","0","12","0","12","266","106","139","91","127","71","0","12","0","12","0","12","0","12","0","12","13","17","99","58","55","52","475","140",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","4558","437","1591","349","1552","351","39","56","39","56","0","17","0","17","0","17","0","17","1148","245","179","108","933","222","26","44","10","17","0","17","0","17","0","17","103","81","69","56","46","58","1601","359",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","2065","458","670","190","459","159","211","128","158","121","11","18","42","38","0","12","0","12","600","246","345","211","255","136","0","12","0","12","0","12","38","40","0","12","24","37","240","176","37","40","456","167",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1385","210","465","155","432","145","33","36","33","36","0","12","0","12","0","12","0","12","536","140","289","126","187","81","60","63","0","12","0","12","27","33","0","12","18","20","86","73","6","9","247","82",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","1679","216","701","189","701","189","0","12","0","12","0","12","0","12","0","12","0","12","533","151","331","124","202","95","0","12","0","12","0","12","0","12","0","12","14","22","41","49","0","12","390","160",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","905","106","301","86","276","84","25","28","25","28","0","12","0","12","0","12","0","12","423","79","191","70","232","58","0","12","0","12","0","12","0","12","0","12","10","13","12","12","0","12","159","64",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","1222","214","541","127","506","111","35","44","35","44","0","12","0","12","0","12","0","12","311","96","175","64","136","77","0","12","0","12","0","12","0","12","0","12","9","15","31","26","38","35","292","177",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","1779","286","526","190","512","188","14","22","14","22","0","12","0","12","0","12","0","12","610","166","315","115","291","115","4","4","0","12","0","12","0","12","0","12","0","12","82","44","65","45","496","209",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","1319","279","447","173","360","147","87","73","87","73","0","12","0","12","0","12","0","12","507","176","377","172","78","64","32","41","20","31","0","12","0","12","0","12","0","12","53","51","0","12","312","164",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","2901","376","999","254","881","239","118","98","118","98","0","12","0","12","0","12","0","12","717","238","86","64","617","229","14","22","0","12","0","12","0","12","17","27","47","40","0","12","16","25","1105","305",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","2096","306","664","180","543","177","121","89","121","89","0","12","0","12","0","12","0","12","418","163","71","63","320","127","27","36","0","12","0","12","0","12","0","12","18","20","30","24","0","12","966","238",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","2883","442","1268","377","1153","335","115","97","90","85","25","39","0","12","0","12","0","12","511","144","88","66","342","138","81","63","0","12","0","12","0","12","0","12","42","50","60","73","23","27","979","256",
